Zm00001eb000650	Transducin/WD40 repeat-like superfamily protein/Transducin/WD40 repeat-like superfamily protein/E3 ubiquitin-protein ligase RFWD3/RING-type domain-containing protein/
Zm00001eb095110	NAC domain-containing protein 2 (NAC family protein) (NAC transcription factor)/NAC domain-containing protein/
Zm00001eb095240	Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6)/Eukaryotic translation initiation factor 3 subunit E/
Zm00001eb095500	Putative tyrosine-protein phosphatase/Uncharacterized protein/Tyrosine specific protein phosphatase family protein/
Zm00001eb095690	Transcription factor MYB44/MYB transcription factor (Transcription factor MYB44)/
Zm00001eb095700	DNA binding/Uncharacterized protein/
Zm00001eb095800	Alpha/beta-Hydrolases superfamily protein/Sn1-specific diacylglycerol lipase beta/
Zm00001eb095870	Histone H2B/Histone H2B.2/
Zm00001eb096040	Histidine-containing phosphotransfer protein 2/Histidine-containing phosphotransfer protein (Histidine-containing phosphotransfer protein 1) (Histidine-containing phosphotransfer protein2)/
Zm00001eb096360	Uncharacterized protein/Ananain/
Zm00001eb096520	Regulator of chromosome condensation (RCC1) family protein/Ultraviolet-B receptor UVR8/
Zm00001eb096580	RNA-binding (RRM/RBD/RNP motifs) family protein/Uncharacterized protein/Heterogeneous nuclear ribonucleoprotein Q/
Zm00001eb096590	Protein prenylyltransferase superfamily protein/Tetratricopeptide repeat protein 27/
Zm00001eb096680	Aquaporin PIP2-2/Uncharacterized protein/Aquaporin PIP2-2 (Aquaporin PIP2.1)/Aquaporin PIP2-2 (Plasma membrane intrinsic protein 2-2) (ZmPIP2-2) (ZmPIP2;2)/
Zm00001eb096750	Non-lysosomal glucosylceramidase (NLGase) (EC 3.2.1.45)/Beta-glucosidase GBA2 type family protein/
Zm00001eb096850	Ankyrin repeat domain-containing protein 13B/Ankyrin repeat family protein/
Zm00001eb096920	Heteroglycan glucosidase 1/Alpha-glucosidase 2/
Zm00001eb096940	DIMBOA UDP-glucosyltransferase BX9/UDP-glycosyltransferase 76C1/Uncharacterized protein/
Zm00001eb096970	Guanine deaminase/Putative cytidine deaminase/Cytidine/deoxycytidylate deaminase family protein/
Zm00001eb096980	Calreticulin/Calreticulin (Fragment)/Calreticulin-2 (Fragment)/
Zm00001eb096990	Protein transport protein SEC13 homolog B/Protein transport protein SEC13 B/Uncharacterized protein/
Zm00001eb097080	mRNA-decapping enzyme-like protein/Dcp1-like decapping family protein/
Zm00001eb097140	Pentatricopeptide repeat-containing protein/BTB/POZ domain-containing protein/
Zm00001eb097180	Prohibitin-2, mitochondrial/Prohibitin/
Zm00001eb097330	Ras-related protein RABA4c/Ras-related protein RGP1/Mgp2 GTP-binding protein/
Zm00001eb097550	Ubiquitin-conjugating enzyme E2-17 kDa/Ubiquitin-conjugating enzyme E2/UBC core domain-containing protein/
Zm00001eb098280	OBP32pep/Protein ILITYHIA/
Zm00001eb098370	Serine carboxypeptidase-like 19/Serine carboxypeptidase-like 17/Serine carboxypeptidase 1 (Serine carboxypeptidase-like 19)/
Zm00001eb098510	60S ribosomal protein L35a-2/60S ribosomal protein L33-B (60S ribosomal protein L35a-2)/
Zm00001eb098560	Hypersensitive-induced response protein-like protein 2/Hypersensitive induced response2 (Hypersensitive-induced response protein)/
Zm00001eb098580	Isochorismate synthase 1/Voltage-dependent anion channel protein 1a/
Zm00001eb098770	Pentatricopeptide repeat-containing protein mitochondrial/GTP binding protein/Heat shock factor-binding protein 1 (Pentatricopeptide repeat-containing protein mitochondrial)/
Zm00001eb098940	Glycosyltransferase (EC 2.4.1.-)/Deleted./
Zm00001eb098960	Homeobox-leucine zipper protein HOX25/HB transcription factor (Homeobox-leucine zipper protein HAT5)/
Zm00001eb098990	Succinate dehydrogenase subunit 7, mitochondrial/Succinate dehydrogenase subunit 7A mitochondrial/Uncharacterized protein/
Zm00001eb099090	Protein EDS1L/EDS1-like protein (Protein EDS1)/
Zm00001eb099100	Malonyl-CoA decarboxylase family protein/Malonyl-CoA decarboxylase, mitochondrial/
Zm00001eb099190	Carbon-sulfur lyases/Centromere protein V/
Zm00001eb099220	Uncharacterized protein/Potassium ion transmembrane transporter/Potassium transporter 10/
Zm00001eb099390	Transcription factor AIG1/Transcription factor bHLH30/Uncharacterized protein/
Zm00001eb099470	Transcription factor bHLH69/Deleted./Transcription factor bHLH66/Uncharacterized protein/BHLH transcription factor/
Zm00001eb099570	R2R3MYB-domain protein/Myb-related protein 306/
Zm00001eb099640	BTB/POZ domain-containing protein NPY1/BTB/POZ domain-containing protein NPY1 (Signal transducer)/
Zm00001eb099730	Phosphatidylinositol/phosphatidylcholine transfer protein SFH8/HAT dimerization domain-containing protein / transposase-related/Mitogen-activated protein kinase kinase kinase ANP1/Uncharacterized protein/
Zm00001eb099750	H(+)-exporting diphosphatase (EC 7.1.3.1)/Ubiquitin carrier protein 7/Ubiquitin carrier protein 7 (Fragment)/
Zm00001eb099850	Pentatricopeptide repeat-containing protein/Pentatricopeptide repeat-containing protein (Fragment)/Uncharacterized protein/
Zm00001eb099980	Ethylene-responsive transcription factor 1/AP2-EREBP transcription factor (Ethylene response factor) (Ethylene-responsive transcription factor RAP2-2)/Uncharacterized protein/Putative AP2/EREBP transcription factor superfamily protein/
Zm00001eb100110	Sterile alpha motif (SAM) domain-containing protein/DNA cross-link repair 1A protein/
Zm00001eb100220	Flavonoid 3-monooxygenase/Flavonoid 3'-monooxygenase/
Zm00001eb100340	Protein Brevis radix-like 4/Protein Brevis radix-like 1/Uncharacterized protein/
Zm00001eb100380	Transcription factor HEC1/BHLH transcription factor (Transcription factor HEC2)/
Zm00001eb100450	RHOMBOID-like protein 10 chloroplastic/Uncharacterized protein/RHOMBOID-like protein 10, chloroplastic/Rhomboid domain-containing protein/Rhomboid-like protein/
Zm00001eb100530	Nuclear pore complex protein NUP58/Nuclear pore complex protein NUP58 (Nucleoporin p58/p45)/
Zm00001eb100570	Eukaryotic aspartyl protease family protein/Aspartic proteinase nepenthesin-1/Peptidase A1 domain-containing protein/
Zm00001eb100650	Putative clathrin assembly protein/Clathrin assembly protein (Putative clathrin assembly protein)/Clathrin assembly protein/
Zm00001eb100830	Protein disulfide-isomerase SCO2/Uncharacterized protein/
Zm00001eb100890	DNAJ heat shock N-terminal domain-containing protein/Uncharacterized protein/
Zm00001eb101010	Ternary complex factor MIP1-like protein/Protein-serine/threonine phosphatase (EC 3.1.3.16)/
Zm00001eb101190	Transcription factor bHLH96/BHLH transcription factor (DNA binding protein)/
Zm00001eb101280	Homeobox-leucine zipper protein ATHB-6/Homeobox-leucine zipper protein HOX4/Homeodomain leucine zipper protein 10/
Zm00001eb101530	Hexosyltransferase (EC 2.4.1.-)/Putative galacturonosyltransferase 4/
Zm00001eb101680	Caffeoyl-CoA O-methyltransferase 1/Caffeoyl-CoA O-methyltransferase/Uncharacterized protein/
Zm00001eb101820	Profilin-4/Uncharacterized protein/
Zm00001eb101940	ENT domain containing protein/ENT domain containing protein (Fragment)/R-interacting factor1/Protein EMSY-LIKE 3/Agenet domain-containing protein/
Zm00001eb101960	Inactive LRR receptor-like serine/threonine-protein kinase BIR2/MLO-like protein/Phosphoenolpyruvate carboxylase 1/Uncharacterized protein/
Zm00001eb102030	3-hydroxy-3-methylglutaryl coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34)/Hydroxymethylglutaryl-CoA reductase (NADPH) (EC 1.1.1.34)/
Zm00001eb102070	UDP-glycosyltransferase 85A7/Cytokinin-O-glucosyltransferase 2/UDPGT domain-containing protein/
Zm00001eb102210	MTD1/Uncharacterized protein/
Zm00001eb102250	60S ribosomal protein L32-1/60S ribosomal protein L32/
Zm00001eb102260	Transcription factor bHLH62/Transcription factor bHLH49/BHLH domain-containing protein/
Zm00001eb102380	Uridine kinase (EC 2.7.1.48)/Uridine kinase (EC 2.7.1.48) (Fragment)/Protein disulfide isomerase4/Uridine/cytidine kinase (EC 2.7.1.48)/
Zm00001eb102450	MADS transcription factor (Fragment)/MADS27/MADS-box transcription factor 8/Uncharacterized protein/MADS27 (Putative MADS-domain transcription factor)/
Zm00001eb102520	S-acyltransferase (EC 2.3.1.225) (Palmitoyltransferase)/Uncharacterized protein/
Zm00001eb102720	2Fe-2S ferredoxin-like superfamily protein (Ferredoxin)/Ferredoxin/
Zm00001eb102830	BAG-associated GRAM protein 1/VASt domain-containing protein/
Zm00001eb102850	Thioesterase/thiol ester dehydrase-isomerase superfamily protein/Acyl-coenzyme A thioesterase 9, mitochondrial/
Zm00001eb102920	Ankyrin repeat family protein/Ankyrin repeat-containing protein/
Zm00001eb102930	N-terminal/Uncharacterized protein/
Zm00001eb102970	1-acylglycerol-3-phosphate O-acyltransferase/Putative 1-acylglycerol-3-phosphate O-acyltransferase/1-acylglycerol-3-phosphate O-acyltransferase (Abhydrolase domain-containing protein 5)/
Zm00001eb103050	ATG8-interacting protein 1/Uncharacterized protein/
Zm00001eb103140	Serine/threonine-protein kinase RIO1 (EC 2.7.11.1)/Non-specific serine/threonine protein kinase (EC 2.7.11.1)/
Zm00001eb103170	Plant UBX domain-containing protein 8/Plant UBX domain-containing protein 8 (Fragment)/UBX domain-containing protein/
Zm00001eb103210	Uncharacterized protein/Nuclear speckle RNA-binding protein A/RRM domain-containing protein/Nucleic acid binding protein/
Zm00001eb103220	2-keto-3-deoxy-L-rhamnonate aldolase/Aldolase like/
Zm00001eb103320	Mediator complex subunit 10 CG5057-PA/Mediator of RNA polymerase II transcription subunit 10 (Mediator complex subunit 10)/
Zm00001eb103330	Homeobox-leucine zipper protein HOX6/Homeobox domain-containing protein/HB transcription factor (Homeobox-leucine zipper protein ATHB-12)/Homeodomain-leucine zipper transcription factor TaHDZipI-1/
Zm00001eb103540	Serine/threonine-protein kinase NAK/Putative serine/threonine-protein kinase PBL19/
Zm00001eb103560	ER lumen protein retaining receptor family protein/ER lumen protein-retaining receptor 3/
Zm00001eb103610	Protein binding protein/Uncharacterized protein/
Zm00001eb103650	CDP-diacylglycerol--serine O-phosphatidyltransferase 1/CDP-diacylglycerol--serine O-phosphatidyltransferase 2/Uncharacterized protein/
Zm00001eb103720	Proteasome subunit alpha type/Proteasome subunit alpha type-7-B/
Zm00001eb103760	Calcium lipid binding protein-like/Synaptotagmin-2/Synaptotagmin-1/
Zm00001eb103800	3-dehydroquinate synthase chloroplastic/3-dehydroquinate synthase/
Zm00001eb104050	Uncharacterized protein/DUF674 family protein/
Zm00001eb104090	Auxin-responsive protein SAUR36/Auxin-responsive protein SAUR61 (SAUR44-auxin-responsive SAUR family member)/
Zm00001eb104100	SAUR40-auxin-responsive SAUR family member/Auxin-responsive protein SAUR36/
Zm00001eb104210	BZIP transcription factor/Uncharacterized protein/
Zm00001eb104260	NIN-like protein 1/Protein NLP2/Protein NLP5/
Zm00001eb104370	MUTL protein homolog 3/RanBP2-type domain-containing protein/
Zm00001eb104380	Serine/threonine-protein kinase SRPK/Protein kinase superfamily protein/
Zm00001eb104430	PRLI-interacting factor A/Uncharacterized protein (Fragment)/Deleted./Uncharacterized protein/
Zm00001eb104460	Mitochondrial phosphate carrier protein 1 mitochondrial/Mitochondrial phosphate carrier protein 1, mitochondrial/
Zm00001eb104630	Eukaryotic aspartyl protease family protein/Protein ASPARTIC PROTEASE IN GUARD CELL 1/
Zm00001eb104640	Sequence-specific DNA binding transcription factor/Myb_DNA-bind_4 domain-containing protein/
Zm00001eb104960	Mannose-P-dolichol utilization defect 1 protein homolog/Uncharacterized protein/
Zm00001eb104970	NEP1-interacting protein-like 1/NEP1-interacting protein 2/RING-type domain-containing protein/
Zm00001eb105070	DNA mismatch repair protein MSH4/DNA mismatch repair protein MSH4 (Fragment)/
Zm00001eb105110	Homogentisate phytyltransferase 1 chloroplastic/Small RNA degrading nuclease 3/Homogentisate geranylgeranyltransferase/Uncharacterized protein/
Zm00001eb105290	Nucleobase-ascorbate transporter 11/Uncharacterized protein/
Zm00001eb105310	COP9 signalosome complex subunit 7/Uncharacterized protein/
Zm00001eb105420	Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase/Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase (EC 3.5.1.52) (Peptide:N-glycanase)/Uncharacterized protein/
Zm00001eb105580	Glycosyltransferase (EC 2.4.1.-)/UDPGT domain-containing protein/Anthocyanidin 3-O-glucosyltransferase/
Zm00001eb105710	Hydrolase/ protein serine/threonine phosphatase/Protein MAIN-LIKE 1/PMD domain-containing protein/
Zm00001eb105750	SH3 domain-containing protein 3/Clathrin binding protein (SH3 domain-containing protein 3)/Clathrin binding protein/
Zm00001eb105790	ATP-dependent protease La (LON) domain protein/Lon N-terminal domain-containing protein/Lon protease 2/
Zm00001eb105830	DNA-binding bromodomain-containing protein/Bromodomain-containing protein 9/
Zm00001eb105890	Calcium dependent protein kinase3/Calcium dependent protein kinase3 (Calcium-dependent protein kinase)/
Zm00001eb105910	BNR/Asp-box repeat family protein/Sialidase domain-containing protein/
Zm00001eb106020	Protein DETOXIFICATION (Multidrug and toxic compound extrusion protein)/Protein DETOXIFICATION 40/
Zm00001eb106060	Condensin-2 complex subunit H2/Condensin-2 complex subunit H2 (Non-SMC condensin II complex subunit H2)/Uncharacterized protein/
Zm00001eb106070	F-box protein/Uncharacterized protein/F-box domain containing protein/
Zm00001eb106230	Ypt/Rab-GAP domain of gyp1p superfamily protein/TBC1 domain family member 15/TBC domain containing protein (Ypt/Rab-GAP domain of gyp1p superfamily protein)/
Zm00001eb106470	Formin-like protein/Formin-like protein 5/
Zm00001eb106500	HAT dimerization domain-containing protein/Eukaryotic translation initiation factor-related/Uncharacterized protein/
Zm00001eb106580	DUF538 family protein/Uncharacterized protein/
Zm00001eb106630	Male sterile32/V-type proton ATPase subunit H/Uncharacterized protein/Putative V-type proton ATPase subunit H/
Zm00001eb106680	Eukaryotic translation initiation factor 4G/Eukaryotic translation initiation factor 4G (Fragment)/
Zm00001eb106740	Lysine-specific demethylase JMJ25/Lysine-specific demethylase JMJ25 (Fragment)/Alpha/beta-Hydrolases superfamily protein/Uncharacterized protein/
Zm00001eb106960	Putative ADP-ribosylation factor GTPase-activating protein AGD5/Uncharacterized protein/
Zm00001eb107020	Bromodomain 4/Protein STRUBBELIG-RECEPTOR FAMILY 1/Bromo domain-containing protein/
Zm00001eb107160	Uncharacterized protein/Cytochrome C oxidase biogenesis Cmc1-like protein/
Zm00001eb107170	Zinc finger CCCH domain-containing protein 56/Uncharacterized protein/
Zm00001eb107230	Remorin family protein/Remorin 4.1/Remorin_C domain-containing protein/DNA binding protein/
Zm00001eb107290	Chalcone--flavanone isomerase/Uncharacterized protein/
Zm00001eb107540	Ubiquitin-conjugating enzyme E2 E3/UBC core domain-containing protein/
Zm00001eb107590	Succinyl-CoA ligase alpha-chain 2/Succinate--CoA ligase [ADP-forming] subunit alpha-1 mitochondrial/Succinate--CoA ligase [ADP-forming] subunit alpha, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)/
Zm00001eb107660	5-formyltetrahydrofolate cyclo-ligase mitochondrial/5-formyltetrahydrofolate cyclo-ligase, mitochondrial/
Zm00001eb107690	Geranylgeranyl pyrophosphate synthase, chloroplastic/Geranylgeranyl pyrophosphate synthase1 (Putative geranylgeranyl pyrophosphate synthase 1)/
Zm00001eb107720	Uncharacterized protein/DUF4091 domain-containing protein/
Zm00001eb107920	Putative WRKY transcription factor 20/Uncharacterized protein/WRKY transcription factor SUSIBA2/Putative WRKY transcription factor 20 (WRKY transcription factor)/
Zm00001eb107930	RNA-binding (RRM/RBD/RNP motifs) family protein/Heterogeneous nuclear ribonucleoprotein 1/
Zm00001eb108060	SUMO-activating enzyme subunit/SUMO-activating enzyme subunit 2/
Zm00001eb108120	Eukaryotic peptide chain release factor subunit 1-3/Eukaryotic peptide chain release factor subunit 1-1/Eukaryotic peptide chain release factor subunit 1-1 (Eukaryotic peptide chain release factor subunit 1-2)/
Zm00001eb108330	Indole-3-acetic acid amido synthetase/Uncharacterized protein/Putative indole-3-acetic acid-amido synthetase GH3.8/
Zm00001eb108350	Disease resistance RPP13-like protein 4/Putative disease resistance RPP13-like protein 1/
Zm00001eb108410	Eukaryotic translation initiation factor 5A (eIF-5A)/Eukaryotic translation initiation factor 5A (eIF-5A) (eIF-4D)/
Zm00001eb108640	Cysteine-rich receptor-like protein kinase 10/Cysteine-rich receptor-like protein kinase 6/Protein kinase domain-containing protein/
Zm00001eb108680	GUP1/Putative membrane-bound O-acyltransferase C24H6.01c/
Zm00001eb108730	Uncharacterized protein/Protein PYRICULARIA ORYZAE RESISTANCE 21/
Zm00001eb108850	Putative methylesterase 11 chloroplastic/Uncharacterized protein/Putative methylesterase 11, chloroplastic/AB hydrolase-1 domain-containing protein/Esterase PIR7B/
Zm00001eb109370	Alanine aminotransferase10/Alanine aminotransferase 2, mitochondrial/Aminotran_1_2 domain-containing protein/Uncharacterized protein/
Zm00001eb109500	CDPK-related kinase 5/Calcium dependent protein kinase1/Putative CDPK-related protein kinase/CDPK-related kinase 1/CDPK-related kinase 3/CDPK-related protein kinase/Protein kinase domain-containing protein/
Zm00001eb109670	Ras-related protein RABH1e/Ras-related protein RABH1b/
Zm00001eb109770	DNA-directed RNA polymerase II protein/Uncharacterized protein/
Zm00001eb109780	Putative inactive receptor kinase/Protein kinase domain-containing protein/
Zm00001eb109820	Myb domain protein 88/Transcription factor MYB124/Uncharacterized protein/
Zm00001eb109860	Transcription factor MYB30/MYB94/
Zm00001eb109980	Putative plant SNARE 13/Putative plant SNARE 13 (Fragment)/
Zm00001eb109990	Putative endonuclease or glycosyl hydrolase/OHA domain-containing protein/
Zm00001eb110000	Chaperone DnaJ-domain superfamily protein/Chaperone protein DnaJ/DnaJ domain containing protein/
Zm00001eb110040	Cytochrome P450 CYP709C14/Cytochrome P450 709B2/
Zm00001eb110250	CDPK-related kinase 1/Calcium/calmodulin-dependent serine/threonine-protein kinase 1/Uncharacterized protein/
Zm00001eb110380	Tetratricopeptide repeat (TPR)-like superfamily protein/Pre-mRNA-splicing factor SYF1/Uncharacterized protein/
Zm00001eb110390	Cytochrome P450 CYP727A4/Cytochrome P450 78A7/Cytochrome P450 3A31/
Zm00001eb110520	Uncharacterized protein/COX VIIa-like protein/
Zm00001eb110540	TVP38/TMEM64 family membrane protein slr0305/SNARE associated Golgi protein family/
Zm00001eb110550	Uncharacterized protein/Uncharacterized protein (Fragment)/
Zm00001eb110610	Plasma-membrane choline transporter family protein/CTL-like protein/Uncharacterized protein/
Zm00001eb110680	XIAP associated factor-1/Uncharacterized protein/TRAF-type zinc finger domain-containing protein 1/NADPH-dependent thioredoxin reductase 3/
Zm00001eb110760	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein/Haloacid dehalogenase-like hydrolase domain-containing protein 3/Rhythmically expressed protein/
Zm00001eb110870	Ubiquitin carboxyl-terminal hydrolase/Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12)/
Zm00001eb110920	RNA-binding (RRM/RBD/RNP motifs) family protein/Pre-rRNA-processing protein ESF2/Activator of basal transcription 1 (RNA-binding (RRM/RBD/RNP motifs) family protein)/
Zm00001eb110930	Protein NETWORKED 1A/Protein NETWORKED 3A/NAB domain-containing protein/
Zm00001eb110990	Uncharacterized protein/Armadillo repeat-containing protein 8/
Zm00001eb111050	GTP-binding protein OBGC chloroplastic/Protein kinase superfamily protein/Putative GTP-binding protein OBGC1, chloroplastic/OCT domain-containing protein/Uncharacterized protein/
Zm00001eb111110	FPF1-like protein 1/Flowering-promoting factor 1-like protein 5/
Zm00001eb111180	Histone-arginine methyltransferase CARM1/Putative histone-arginine methyltransferase CARM1/
Zm00001eb111330	Ubiquitin-like-specific protease ESD4/Ubiquitin-like-specific protease 1A/
Zm00001eb111380	p-loop containing nucleoside triphosphate hydrolase superfamily protein (Fragment)/p-loop containing nucleoside triphosphate hydrolase superfamily protein/Putative helicase MAGATAMA 3/
Zm00001eb111420	Peroxidase (EC 1.11.1.7)/Peroxidase 66 (EC 1.11.1.7) (Plasma membrane-bound peroxidase 3-2) (pmPOX3-2)/
Zm00001eb111440	Uncharacterized protein/Mitochondrial adenine nucleotide transporter ADNT1/
Zm00001eb111620	Putative calcium-binding protein CML32/Calcium-binding protein CML42/
Zm00001eb111670	Hydroxyproline-rich glycoprotein family protein/Ricin B-like lectin R40C1/Uncharacterized protein/
Zm00001eb111690	(+)-neomenthol dehydrogenase/Uncharacterized protein/Short-chain dehydrogenase/reductase 2b/
Zm00001eb111720	T-complex protein 1 subunit zeta/RING-type E3 ubiquitin transferase (EC 2.3.2.27)/T-complex protein 1 subunit zeta 1/Uncharacterized protein/
Zm00001eb111810	Lon protease homolog, mitochondrial (EC 3.4.21.53)/Lon protease homolog 2 peroxisomal/
Zm00001eb111970	Uncharacterized protein/Protein Rf1, mitochondrial/Fertility restorer/
Zm00001eb111980	Omega-3 fatty acid desaturase/Omega-3 fatty acid desaturase, chloroplastic/Temperature-sensitive sn-2 acyl-lipid omega-3 desaturase (Ferredoxin), chloroplastic/Uncharacterized protein/
Zm00001eb112080	Two-component response regulator-like APRR3/Uncharacterized protein/Two-component response regulator-like PRR37/
Zm00001eb112120	Receptor like protein 1/LRR receptor-like serine/threonine-protein kinase GSO2/
Zm00001eb112180	Protein NRT1/ PTR FAMILY 4.4/Protein NRT1/ PTR FAMILY 4.3/
Zm00001eb112200	Gibberellin receptor GID1L2/Putative carboxylesterase 18/
Zm00001eb112330	22.6 kDa class IV heat shock protein mRNA/22.0 kDa class IV heat shock protein/Heat shock protein/
Zm00001eb112380	Brassinosteroid LRR receptor kinase/Putative inactive leucine-rich repeat receptor-like protein kinase/DEAD-box ATP-dependent RNA helicase 14/Inactive leucine-rich repeat receptor-like protein kinase/Inactive LRR receptor-like serine/threonine-protein kinase BIR2/
Zm00001eb112560	Vacuolar protein sorting-associated protein 26A/Vacuolar protein sorting 26/
Zm00001eb112670	Protein NRT1/ PTR FAMILY 1.2/Protein NRT1/ PTR FAMILY 1.1/
Zm00001eb112750	Subtilisin-like serine endopeptidase family protein/Subtilisin-like protease SBT3.13/Uncharacterized protein/
Zm00001eb112830	ABC transporter I family member 11 chloroplastic/ABC transporter I family member 11, chloroplastic/
Zm00001eb113010	Long chain base biosynthesis protein 2a/Serine C-palmitoyltransferase (EC 2.3.1.50)/
Zm00001eb113130	Serine--tRNA ligase cytoplasmic/ATP-citrate synthase alpha chain protein 3/Uncharacterized protein/
Zm00001eb113150	AAA-type ATPase family protein/AAA-type ATPase family protein (Fragment)/
Zm00001eb113190	UDP-glycosyltransferase 73D1/Uncharacterized protein/Glycosyltransferase (EC 2.4.1.-)/
Zm00001eb113240	Alpha-mannosidase (EC 3.2.1.-)/Putative alpha-mannosidase/Glyco_hydro38C2 domain-containing protein/
Zm00001eb113350	Rubredoxin-like domain-containing protein/Rubredoxin-like superfamily protein/
Zm00001eb113680	UPF0481 protein/DUF247 domain protein/Zinc finger (MYND type) family protein / programmed cell death 2 C-terminal domain-containing protein/
Zm00001eb113870	Maf-like protein CV_0124/Uncharacterized protein/
Zm00001eb113920	Tyrosine aminotransferase homolog1/Nicotianamine aminotransferase A/Aminotran_1_2 domain-containing protein/
Zm00001eb114060	Uncharacterized protein/Wall-associated receptor kinase 3/
Zm00001eb114140	Zinc-finger domain of monoamine-oxidase A repressor R1/Putative acyl-CoA oxidase family protein/Cell division cycle-associated 7-like protein/zf-4CXXC_R1 domain-containing protein/
Zm00001eb114170	Disease resistance protein RPS2/Uncharacterized protein/
Zm00001eb114250	Uncharacterized protein/NAM-associated domain-containing protein/Transposon protein Pong sub-class/
Zm00001eb114430	ETO1-like protein 1/Tetratricopeptide repeat (TPR)-containing protein/
Zm00001eb114490	Pentatricopeptide repeat-containing protein mitochondrial/PPR-814a/PPR-814b/
Zm00001eb114660	Pentatricopeptide repeat-containing protein mitochondrial/PPR-816/
Zm00001eb114700	Beta-carotene isomerase D27 chloroplastic/Beta-carotene isomerase D27, chloroplastic/DUF4033 domain-containing protein/
Zm00001eb114820	OSJNBa0004L19.23-like protein/DUF295 domain-containing protein/
Zm00001eb114830	Transducin/WD40 repeat-like superfamily protein/Target of rapamycin complex subunit LST8/
Zm00001eb114880	Centromere/kinetochore protein zw10-like protein/Centromere/kinetochore protein zw10/
Zm00001eb114970	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)/Peptidyl-prolyl cis-trans isomerase CYP23/PPIase cyclophilin-type domain-containing protein/
Zm00001eb114980	Uncharacterized protein/Phytosulfokine receptor 2/
Zm00001eb115220	Splicing factor U2af large subunit A/U2 snRNP auxiliary factor large subunit/Splicing factor U2af large subunit B/
Zm00001eb115230	Ribosome associated membrane protein RAMP4/Membrane protein/
Zm00001eb115240	U2 snRNP auxiliary factor large subunit/Splicing factor U2af large subunit B/Splicing factor U2af large subunit B (Fragment)/Splicing factor U2af large subunit A/NAM-associated domain-containing protein/Transposon protein Pong sub-class/Splicing factor U2AF 65 kDa subunit/
Zm00001eb115830	AAA-type ATPase family protein/AAA-type ATPase family protein (Fragment)/ATPase family AAA domain-containing protein 1-A/
Zm00001eb115840	NAD(P)-binding Rossmann-fold superfamily protein/Heat shock cognate protein/Tropinone reductase-like 1/
Zm00001eb115920	Histone H3.3/Histone domain-containing protein/
Zm00001eb116160	Wall-associated kinase/S-receptor kinase1 (Wall-associated kinase)/
Zm00001eb116200	LRR receptor-like serine/threonine-protein kinase EFR/Receptor kinase-like protein Xa21/Putative LRR receptor-like serine/threonine-protein kinase/LRR receptor-like serine/threonine-protein kinase FLS2/Putative receptor-like protein kinase/LRR receptor-like serine/threonine-protein kinase GSO1/LRRNT_2 domain-containing protein/
Zm00001eb116240	Mitochondrial 28S ribosomal protein S29-related/28S ribosomal protein S29, mitochondrial/Uncharacterized protein/
Zm00001eb116380	Putative prolyl 4-hydroxylase 7/Prolyl 4-hydroxylase 4-2/Prolyl 4-hydroxylase 4 (Putative prolyl 4-hydroxylase 12)/
Zm00001eb116410	BHLH transcription factor (Transcription factor BPE) (Fragment)/Transcription factor BPE/
Zm00001eb116670	Receptor-like kinase-like/F-box domain-containing protein/Uncharacterized protein/
Zm00001eb116770	Protein WVD2-like 2/Protein WVD2-like 3/Seed specific protein Bn15D14A/
Zm00001eb116800	Arp2/3 complex 34 kDa subunit/Actin-related protein 2/3 complex subunit 2A/
Zm00001eb116890	CLIP-associated protein/TOG domain-containing protein/
Zm00001eb116930	60S ribosomal protein L4-1/60S ribosomal protein L4/
Zm00001eb117090	MADS transcription factor (MADS-box transcription factor family protein) (Fragment)/Uncharacterized protein/MADS-box domain-containing protein/Agamous-like MADS-box protein AGL62/MADS transcription factor/
Zm00001eb117140	Ubiquitin-conjugating enzyme E2 2/Ubiquitin-conjugating enzyme E2 2 (Ubiquitin-conjugating enzyme E2 3) (Ubiquitin-conjugating enzyme E2-17 kDa)/
Zm00001eb117180	Cylicin-1/Uncharacterized protein/KED-like protein (Fragment)/
Zm00001eb117190	Syntaxin 132/Syntaxin-132/t-SNARE coiled-coil homology domain-containing protein/
Zm00001eb117200	Aspartic proteinase A1/Helix-loop-helix DNA-binding domain containing protein/
Zm00001eb117350	E3 ubiquitin-protein ligase RHF2A/RING-type domain-containing protein/Uncharacterized protein/E3 ubiquitin-protein ligase RHF2A (Zinc finger, RING-type)/
Zm00001eb117370	Trimethyltridecatetraene synthase (EC 1.14.14.58) (Cytochrome P-450 20) (Cytochrome P450 92C6)/Flavonoid 3'-monooxygenase/
Zm00001eb117400	Protein ENHANCED DOWNY MILDEW 2/Protein ENHANCED DOWNY MILDEW 2 (Fragment)/Uncharacterized protein/DNMT1-RFD domain-containing protein/
