	bwnet_20$colors		ensembl_id	uniprot_function
Zm00001eb114360	brown		Zm00001eb193810	Uncharacterized protein/
Zm00001eb114370	blue		Zm00001eb193830	Cyclin-D3-1/Cyclin-D2-1/D-type cyclin/
Zm00001eb114380	brown		Zm00001eb193840	SNW/SKI-interacting protein/SNW domain-containing protein 1/Pre-mRNA-splicing factor prp45/
Zm00001eb114430	brown		Zm00001eb193910	Blue copper protein/Cupredoxin superfamily protein/
Zm00001eb114480	cyan		Zm00001eb193920	Transcription factor bHLH96/BHLH transcription factor (Transcription factor bHLH99)/
Zm00001eb114490	turquoise		Zm00001eb193930	LMBR1-like membrane protein/LMBR1 domain-containing protein 2 A/
Zm00001eb114500	turquoise		Zm00001eb193970	F-box protein FBW2/Ubiquitin-protein ligase/Uncharacterized protein/
Zm00001eb114520	turquoise		Zm00001eb194040	Epidermal patterning factor-like protein/
Zm00001eb114540	brown		Zm00001eb194070	UDP-glycosyltransferase 85A7/Glycosyltransferase (EC 2.4.1.-)/
Zm00001eb114580	brown		Zm00001eb194100	RRM domain-containing protein/Putative RNA-binding protein ARP1/
Zm00001eb114600	pink		Zm00001eb194110	Methyltransferase (EC 2.1.1.-)/Putative pectin methyltransferase QUA2/
Zm00001eb114610	turquoise		Zm00001eb194150	Uncharacterized protein/TLD-domain containing nucleolar protein/Oxidation resistance protein 1/TLD family protein/
Zm00001eb114660	turquoise		Zm00001eb194160	VQ domain-containing protein/
Zm00001eb114690	turquoise		Zm00001eb194200	Uncharacterized protein/
Zm00001eb114700	turquoise		Zm00001eb194210	Trehalose 6-phosphate phosphatase (EC 3.1.3.12)/
Zm00001eb114740	cyan		Zm00001eb194220	Ethylene-responsive transcription factor RAP2-13/Ethylene-responsive transcription factor ERF056/
Zm00001eb114820	tan		Zm00001eb194230	Uncharacterized protein/
Zm00001eb114830	tan		Zm00001eb194270	FLZ-type domain-containing protein/
Zm00001eb114840	brown		Zm00001eb194350	"ATP synthase chloroplast subunit1/ATP synthase delta chain, chloroplastic/ATP synthase delta chain/ATP synthase subunit delta chloroplastic/H(+)-transporting ATP synthase (EC 3.6.1.34) (Fragment)/"
Zm00001eb114880	turquoise		Zm00001eb194420	AAA-type ATPase family protein/p-loop containing nucleoside triphosphate hydrolase superfamily protein/Uncharacterized protein/Spastin/
Zm00001eb114950	brown		Zm00001eb194480	Transcription factor TCP14/Transcription factor TCP15/
Zm00001eb114970	brown		Zm00001eb194500	Aldehyde oxygenase (deformylating) (EC 4.1.99.5)/Uncharacterized protein/
Zm00001eb114980	brown		Zm00001eb194590	Methyltransferase-like protein 7A/S-adenosyl-L-methionine-dependent methyltransferase superfamily protein/
Zm00001eb115200	brown		Zm00001eb194680	Rho-related protein from plants 8/Rac-like GTP-binding protein 3/Putative Rop family GTPase ROP8 (Rho-related protein from plants 8)/
Zm00001eb115210	turquoise		Zm00001eb194700	Uncharacterized protein/
Zm00001eb115220	turquoise		Zm00001eb194760	Uncharacterized protein/
Zm00001eb115230	turquoise		Zm00001eb194770	E2F transcription factor-like E2FE/E2F_TDP domain-containing protein/
Zm00001eb115240	brown		Zm00001eb194780	Pyruvate dehydrogenase E1 component subunit alpha (EC 1.2.4.1)/
Zm00001eb115300	pink		Zm00001eb194790	RING/U-box superfamily protein/E3 ubiquitin-protein ligase/
Zm00001eb115330	brown		Zm00001eb194920	D-aminoacid aminotransferase-like PLP-dependent enzymes superfamily protein/Uncharacterized protein/
Zm00001eb115410	brown		Zm00001eb194930	Leucine-rich repeat protein kinase family protein/Putative LRR receptor-like serine/threonine-protein kinase/
Zm00001eb115440	blue		Zm00001eb194950	Clathrin heavy chain/
Zm00001eb115650	brown		Zm00001eb194970	"Farnesol kinase chloroplastic (Fragment)/Cysteine dioxygenase (EC 1.13.11.20)/Putative phytol kinase 2, chloroplastic/SAC3 family protein B/Uncharacterized protein/Farnesol kinase chloroplastic/Phytol kinase 2/"
Zm00001eb115660	brown		Zm00001eb194980	"Sec1/munc18-like (SM) proteins superfamily/Sorting and assembly machinery component 50/Outer membrane protein, OMP85 family protein/"
Zm00001eb115680	turquoise		Zm00001eb195020	F10K1.23/Uncharacterized protein/
Zm00001eb115830	green		Zm00001eb195070	PRA1 family protein/
Zm00001eb115840	blue		Zm00001eb195120	SWR1 complex subunit 6/Zinc finger HIT domain-containing protein 1/
Zm00001eb115870	brown		Zm00001eb195130	Uncharacterized protein/Pentatricopeptide repeat-containing protein/Double-stranded RNA-binding protein 1/
Zm00001eb115890	blue		Zm00001eb195140	Regulatory-associated protein of TOR 1/
Zm00001eb115900	pink		Zm00001eb195180	HIG1 domain-containing protein/Hypoxia-responsive family protein/
Zm00001eb115920	turquoise		Zm00001eb195320	Cysteine-rich receptor-like protein kinase 29/Protein kinase domain-containing protein/
Zm00001eb115940	blue		Zm00001eb195340	Coatomer subunit beta'-3/Coatomer subunit beta'/Coatomer subunit beta'-2/Uncharacterized protein/
Zm00001eb116090	turquoise		Zm00001eb195440	WRKY domain-containing protein/WRKY transcription factor (Fragment)/
Zm00001eb116160	turquoise		Zm00001eb195450	zinc_ribbon_12 domain-containing protein/
Zm00001eb116200	turquoise		Zm00001eb195460	Esterase PIR7B/Cysteine desulfurase 1 chloroplastic/Methylesterase 17/Cysteine desulfurase 1 chloroplastic (Esterase PIR7A)/
Zm00001eb116240	green		Zm00001eb195510	Cytochrome P450 714A1/Cytochrome P450 714C3/Protein binding protein/
Zm00001eb116270	blue		Zm00001eb195550	Protein LURP-one-related 8/GTP binding protein/
Zm00001eb116280	green		Zm00001eb195620	Haloacid dehalogenase-like hydrolase domain-containing protein 1A isoform 1/Pentatricopeptide repeat-containing protein/Pentatricopeptide repeat protein PPR868-14/Pentatricopeptide repeat protein PPR868-14 isoform 1/
Zm00001eb116350	cyan		Zm00001eb195630	CTP:phosphoethanolamine cytidylyltransferase (EC 2.7.7.14)/
Zm00001eb116370	green		Zm00001eb195640	Vacuolar protein sorting-associated protein 32 homolog 1/Vacuolar protein sorting-associated protein 32 1/
Zm00001eb116380	cyan		Zm00001eb195690	L-arabinokinase/Uncharacterized protein/
Zm00001eb116390	blue		Zm00001eb195760	Disease resistance protein RPM1/Putative disease resistance protein/
Zm00001eb116400	turquoise		Zm00001eb195770	NAC domain-containing protein 77/NAC family member/
Zm00001eb116410	brown		Zm00001eb195780	Uncharacterized protein/
Zm00001eb116470	brown		Zm00001eb195790	TRAF-like superfamily protein/TNF receptor-associated factor 5/TRAF-type domain-containing protein/
Zm00001eb116510	turquoise		Zm00001eb195810	Uncharacterized protein (Fragment)/Uncharacterized protein/
Zm00001eb116530	brown		Zm00001eb195860	Long chain acyl-CoA synthetase 8/Long chain acyl-CoA synthetase 8 (Fragment)/Long chain acyl-CoA synthetase/
Zm00001eb116570	turquoise		Zm00001eb195880	Putative inositol polyphosphate phosphatase (Synaptogenin-like) family protein/Type I inositol polyphosphate 5-phosphatase 5/
Zm00001eb116640	brown		Zm00001eb195930	Uncharacterized protein/
Zm00001eb116670	turquoise		Zm00001eb195940	ENTH/VHS family protein/
Zm00001eb116720	turquoise		Zm00001eb195960	Protein Mpv17/Uncharacterized protein/DUF309 domain protein/
Zm00001eb116740	turquoise		Zm00001eb195970	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein/
Zm00001eb116770	green		Zm00001eb195980	TPT domain-containing protein/Nucleotide sugar transporter-KT 1/
Zm00001eb116790	turquoise		Zm00001eb196020	Calmodulin/Calmodulin protein/Putative calmodulin-like protein 2/Calmodulin-related protein/
Zm00001eb116800	pink		Zm00001eb196030	CBL-interacting kinase/Non-specific serine/threonine protein kinase (EC 2.7.11.1)/Putative CBL-interacting protein kinase family protein isoform 1/NAF domain-containing protein/Uncharacterized protein/
Zm00001eb116880	pink		Zm00001eb196060	Uncharacterized protein/Protein kinase superfamily protein/
Zm00001eb116890	turquoise		Zm00001eb196100	Non-reducing end alpha-L-arabinofuranosidase (EC 3.2.1.55)/Putative alpha-L-arabinofuranosidase family protein/Non-reducing end alpha-L-arabinofuranosidase (EC 3.2.1.55) (Fragment)/
Zm00001eb116910	turquoise		Zm00001eb196150	Metacaspase-9/Putative metacaspase family protein/
Zm00001eb116930	salmon		Zm00001eb196170	Major facilitator superfamily defense2/Protein ZINC INDUCED FACILITATOR-LIKE 1/MFS domain-containing protein/Major facilitator superfamily antiporter/
Zm00001eb116970	brown		Zm00001eb196180	Putative peptide/nitrate transporter/Protein ZINC INDUCED FACILITATOR-LIKE 1/Carbohydrate transporter/ sugar porter/ transporter (Putative peptide/nitrate transporter)/
Zm00001eb117030	turquoise		Zm00001eb196190	Complex III subunit 9/
Zm00001eb117050	turquoise		Zm00001eb196230	RNA binding (RRM/RBD/RNP motifs) family protein/HIV Tat-specific factor 1/Uncharacterized protein/GYF_2 domain-containing protein/
Zm00001eb117090	blue		Zm00001eb196280	ARM repeat superfamily protein/ARM repeat superfamily protein (Fragment)/Proteasome-associated protein ECM29/
Zm00001eb117140	pink		Zm00001eb196320	Phosphoglycerate mutase-like protein 4/Uncharacterized protein/Pentatricopeptide repeat-containing protein/
Zm00001eb117150	turquoise		Zm00001eb196360	RNA-binding (RRM/RBD/RNP motifs) family protein/RNA-binding (RRM/RBD/RNP motifs) family protein (Fragment)/Heterogeneous nuclear ribonucleoprotein Q/RRM domain-containing protein/
Zm00001eb117180	turquoise		Zm00001eb196400	Uncharacterized protein/
Zm00001eb117190	blue		Zm00001eb196410	PP2A regulatory subunit TAP46/
Zm00001eb117200	turquoise		Zm00001eb196510	2-isopropylmalate synthase (EC 2.3.3.13)/2-isopropylmalate synthase B/
Zm00001eb117220	blue		Zm00001eb196600	Uncharacterized protein/R3H-assoc domain-containing protein/
Zm00001eb117230	pink		Zm00001eb196640	Aluminum-induced protein homolog1/Aluminum induced protein with YGL and LRDR motifs/Stem-specific protein TSJT1/
Zm00001eb117260	turquoise		Zm00001eb196650	Pyruvate kinase (EC 2.7.1.40)/Uncharacterized protein/
Zm00001eb117310	blue		Zm00001eb196710	Phytosulfokine [Cleaved into: Phytosulfokine-alpha (PSK-alpha) (Phytosulfokine-a); Phytosulfokine-beta (PSK-beta) (Phytosulfokine-b)]/
Zm00001eb117320	turquoise		Zm00001eb196920	Uncharacterized protein/
Zm00001eb117330	turquoise		Zm00001eb196930	Calmodulin binding protein/IQ domain-containing protein IQM3/Uncharacterized protein/
Zm00001eb117350	tan		Zm00001eb197000	Protein SELF-PRUNING/ZCN6/RCN1-Corn Centroradialis/TFL1-like protein (ZCN6)/
Zm00001eb117370	blue		Zm00001eb197030	Dual specificity protein phosphatase Diacylglycerol kinase catalytic region/Uncharacterized protein YnbD/Membrane-associated phospholipid phosphatase/Uncharacterized protein/
Zm00001eb117400	blue		Zm00001eb197120	"Signal recognition particle protein, chloroplastic/Signal recognition particle 54 kDa protein chloroplastic/"
Zm00001eb117470	brown		Zm00001eb197150	mRNA-decapping enzyme-like protein (Fragment)/mRNA-decapping enzyme-like protein/Uncharacterized protein/
Zm00001eb117520	turquoise		Zm00001eb197160	Basic-leucine zipper (BZIP) transcription factor family protein/BZIP domain-containing protein/
Zm00001eb117530	turquoise		Zm00001eb197180	Uncharacterized protein/ERAD-associated E3 ubiquitin-protein ligase HRD1A/RING-type domain-containing protein/
Zm00001eb117690	turquoise		Zm00001eb197290	Disease resistance protein RPM1/
Zm00001eb117700	brown		Zm00001eb197300	Protein kinase domain containing protein expressed/Cysteine-rich receptor-like protein kinase 29/Cysteine-rich receptor-like protein kinase 8/
Zm00001eb117740	turquoise		Zm00001eb197310	Dirigent protein/
Zm00001eb117790	turquoise		Zm00001eb197360	Amylomaltase (EC 2.4.1.25) (Disproportionating enzyme)/
Zm00001eb117820	turquoise		Zm00001eb197580	Kinesin-like protein KIN-7G/Kinesin-like protein/Kinesin-like protein (Fragment)/Kinesin-like protein KIN-7L/
Zm00001eb117830	blue		Zm00001eb197590	Protein AUXIN RESPONSE 4/
Zm00001eb117850	blue		Zm00001eb197600	60S ribosomal protein L23/
Zm00001eb117860	brown		Zm00001eb197610	Uncharacterized protein/
Zm00001eb117890	green		Zm00001eb197620	CCAAT-HAP5-transcription factor 59/Repressor protein/CCAAT transcription factor (Fragment)/CCAAT-HAP5-transcription factor 59 (Repressor protein)/
Zm00001eb117900	blue		Zm00001eb197640	Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain/Regulator of chromosome condensation (RCC1) family protein/Ultraviolet-B receptor UVR8/Uncharacterized protein/
Zm00001eb117920	brown		Zm00001eb197650	Putative glycosyltransferase 6/Glycosyltransferase 6/
Zm00001eb117930	pink		Zm00001eb197780	Putative BOI-related E3 ubiquitin-protein ligase 3/Putative RING zinc finger domain superfamily protein/
Zm00001eb117970	blue		Zm00001eb197810	Putative BOI-related E3 ubiquitin-protein ligase 3/Putative RING zinc finger domain superfamily protein/
Zm00001eb118010	blue		Zm00001eb197890	Respiratory burst oxidase homolog protein C/Respiratory burst oxidase4/Respiratory burst oxidase C/Respiratory burst oxidase B/Respiratory burst oxidase protein D variant alpha/
Zm00001eb118020	paleturquoise		Zm00001eb197900	Germin-like protein/Germin-like protein subfamily 3 member 4/
Zm00001eb118030	pink		Zm00001eb197910	Transmembrane 9 superfamily member/TVP38/TMEM64 family membrane protein slr0305/DedA (SNARE associated Golgi protein family)/
Zm00001eb118070	turquoise		Zm00001eb197940	Outer envelope protein 64 chloroplastic/Amidase domain-containing protein/Glutamyl-tRNA(Gln) amidotransferase subunit A/
Zm00001eb118100	pink		Zm00001eb197960	C2 domain protein/C2 domain-containing protein/Protein SRC2/
Zm00001eb118200	pink		Zm00001eb197990	Retinoblastoma family3/Retinoblastoma-related protein 2/DUF3452 domain-containing protein/Retinoblastoma-related protein 2 (ZmRBR2)/
Zm00001eb118220	turquoise		Zm00001eb198000	"Nudix hydrolase 13 mitochondrial/Nudix hydrolase 13, mitochondrial/Nudix hydrolase 13/"
Zm00001eb118240	brown		Zm00001eb198080	Chalcone synthase 7/Type III polyketide synthase B/
Zm00001eb118250	brown		Zm00001eb198090	Protein-serine/threonine phosphatase (EC 3.1.3.16)/Uncharacterized protein/
Zm00001eb118290	blue		Zm00001eb198100	"Succinate dehydrogenase assembly factor 2 mitochondrial/Uncharacterized protein/Succinate dehydrogenase assembly factor 2, mitochondrial/TPR repeat region family protein/Succinate dehydrogenase assembly factor 2 mitochondrial (TPR repeat region family protein)/"
Zm00001eb118320	salmon		Zm00001eb198110	Putative acyl-CoA N-acyltransferase (NAT) family protein/N-alpha-acetyltransferase MAK3/
Zm00001eb118370	pink		Zm00001eb198120	"Protein COFACTOR ASSEMBLY OF COMPLEX C SUBUNIT B CCB1, chloroplastic/Uncharacterized protein/Protein COFACTOR ASSEMBLY OF COMPLEX C SUBUNIT B CCB1 chloroplastic/"
Zm00001eb118510	turquoise		Zm00001eb198140	O-methyltransferase ZRP4/
Zm00001eb118580	turquoise		Zm00001eb198150	O-methyltransferase ZRP4/
Zm00001eb118590	turquoise		Zm00001eb198180	Diadenosine tetraphosphate synthetase (EC 6.1.1.14)/
Zm00001eb118600	brown		Zm00001eb198220	Retinoblastoma family3/Retinoblastoma-related protein 1/Retinoblastoma-related protein 1 (Fragment)/Retinoblastoma-related protein 3/
Zm00001eb118620	turquoise		Zm00001eb198310	Anthocyanin-related membrane protein 1 (Anm1)-like/Solute carrier family 35 member F1/Uncharacterized protein/
Zm00001eb118640	blue		Zm00001eb198320	Biotin synthase/Biotin synthase (EC 2.8.1.6)/Radical SAM core domain-containing protein/
Zm00001eb118770	turquoise		Zm00001eb198370	Aldehyde dehydrogenase family 7 member A1 (Fragment)/RNA methyltransferase (EC 2.1.1.-)/
Zm00001eb118790	green		Zm00001eb198420	60S ribosomal protein L38/
Zm00001eb118820	pink		Zm00001eb198440	Eukaryotic aspartyl protease family protein/Aspartic proteinase-like protein 2/
Zm00001eb118840	turquoise		Zm00001eb198460	Uncharacterized protein/Uncharacterized protein (Fragment)/
Zm00001eb118860	blue		Zm00001eb198500	C2 and GRAM domain-containing protein/
Zm00001eb118920	blue		Zm00001eb198560	BAG family molecular chaperone regulator 3/Protein binding protein/BAG family molecular chaperone regulator 1/
Zm00001eb118930	brown		Zm00001eb198650	GINS complex protein/DNA replication complex GINS protein PSF3/TTN10/Sld5 domain-containing protein/
Zm00001eb118940	tan		Zm00001eb198660	Protein O-glucosyltransferase 1/Lipopolysaccharide-modifying protein/Uncharacterized protein/
Zm00001eb118990	turquoise		Zm00001eb198690	Plasma-membrane choline transporter family protein/Choline transporter-like protein 2/
Zm00001eb119000	turquoise		Zm00001eb198720	ENHANCER OF AG-4 protein 2/
Zm00001eb119030	pink		Zm00001eb198730	Uncharacterized protein/
Zm00001eb119070	blue		Zm00001eb198740	Putative vesicle-associated membrane protein family protein/Vesicle-associated membrane protein 714/
Zm00001eb119100	brown		Zm00001eb198750	Uncharacterized protein/Nicalin/
Zm00001eb119130	brown		Zm00001eb198770	Non-specific lipid-transfer protein 2/Nonspecific lipid-transfer protein/
Zm00001eb119150	tan		Zm00001eb198790	Heavy metal-associated isoprenylated plant protein 20/Farnesylated protein 2/HMA domain-containing protein/
Zm00001eb119180	brown		Zm00001eb198820	Tubby-like F-box protein/
Zm00001eb119210	turquoise		Zm00001eb198850	BTB/POZ domain-containing protein/TRAF transcription factor/Maternal Effect Lethal family member/
Zm00001eb119270	turquoise		Zm00001eb198860	Thioredoxin H-type 5/Thioredoxin H2-2/
Zm00001eb119280	brown		Zm00001eb198900	UPF0481 protein/Uncharacterized protein/
Zm00001eb119310	lightyellow		Zm00001eb198990	Plant UBX domain-containing protein 11/
Zm00001eb119330	salmon		Zm00001eb199020	WW domain-containing protein/WW domain containing protein/
Zm00001eb119390	green		Zm00001eb199070	Pentatricopeptide repeat-containing protein/Pentatricopeptide repeat-containing protein mitochondrial/
Zm00001eb119410	cyan		Zm00001eb199080	Myosin heavy chain-related protein/Putative WEB family protein/
Zm00001eb119440	turquoise		Zm00001eb199140	Methyl-CpG-binding domain-containing protein 8/
Zm00001eb119450	blue		Zm00001eb199160	"Serine/arginine-rich splicing factor SC35/Arginine/serine-rich splicing factor SC30 transcript IX/Uncharacterized protein/Splicing factor, arginine/serine-rich 2/Arginine/serine-rich splicing factor SC30 transcript VII (Serine/arginine-rich splicing factor SC35)/Arginine/serine-rich splicing factor SC30 transcript I (Arginine/serine-rich splicing factor SC30 transcript IV) (Serine/arginine-rich splicing factor SC35)/Arginine/serine-rich splicing factor SC30 transcript III (Serine/arginine-rich splicing factor SC35)/Arginine/serine-rich splicing factor SC30 transcript VIII/Arginine/serine-rich splicing factor SC30 transcript II/Arginine/serine-rich splicing factor SC30 transcript VI/Arginine/serine-rich splicing factor SC30 transcript V/"
Zm00001eb119510	brown		Zm00001eb199190	Uncharacterized protein/
Zm00001eb119580	brown		Zm00001eb199260	UDP-glycosyltransferase 89B2/UDP-glycosyltransferase 89B1/
Zm00001eb119590	turquoise		Zm00001eb199300	Protein gar2/RNA-binding (RRM/RBD/RNP motifs) family protein/
Zm00001eb119630	turquoise		Zm00001eb199320	Fasciclin-like arabinogalactan protein 2/Fasciclin-like arabinogalactan protein 1/Fasciclin-like arabinogalactan protein 10/
Zm00001eb119690	salmon		Zm00001eb199370	Salicylate/benzoate carboxyl methyltransferase/Anthranilate O-methyltransferase 1/
Zm00001eb119710	brown		Zm00001eb199410	BTB/POZ domain-containing protein (Fragment)/BTB/POZ domain-containing protein/Uncharacterized protein/
Zm00001eb119720	brown		Zm00001eb199430	Nuclear transcription factor Y subunit C-6/CBFD_NFYB_HMF domain-containing protein/CCAAT-HAP5 transcription factor (Nuclear transcription factor Y subunit C-9)/
Zm00001eb119760	brown		Zm00001eb199460	Phosphatidylinositol/phosphatidylcholine transfer protein SFH13/Phosphatidylinositol/phosphatidylcholine transfer protein SFH13 (Fragment)/Phosphatidylinositol/phosphatidylcholine transfer protein SFH6/CRAL-TRIO domain-containing protein/
Zm00001eb119770	cyan		Zm00001eb199540	COP9 signalosome complex subunit 6/COP9 signalosome complex subunit 6a/
Zm00001eb119780	tan		Zm00001eb199570	Protein-serine/threonine phosphatase (EC 3.1.3.16)/
Zm00001eb119790	blue		Zm00001eb199580	DEUBAD domain-containing protein/DNA-binding protein-like/
Zm00001eb119820	turquoise		Zm00001eb199660	Fasciclin-like arabinogalactan protein 7/
Zm00001eb119840	pink		Zm00001eb199670	"Ribosomal protein L9/RNase H1 (Fragment)/50S ribosomal protein L9, chloroplastic (CL9)/"
Zm00001eb119880	green		Zm00001eb199700	SWIB complex BAF60b domain-containing protein/Upstream activation factor subunit spp27/
Zm00001eb119910	lightsteelblue1		Zm00001eb199770	GRF-type domain-containing protein/Uncharacterized protein/
Zm00001eb119930	blue		Zm00001eb199780	Zinc finger protein WIP2/
Zm00001eb119940	turquoise		Zm00001eb199800	"30S ribosomal protein S8, chloroplastic/"
Zm00001eb119970	lightyellow		Zm00001eb199810	p-loop containing nucleoside triphosphate hydrolase superfamily protein/Nodulation protein H/
Zm00001eb120030	green		Zm00001eb199880	Squamosa promoter-binding-like protein 14/Squamosa promoter-binding-like protein 15/
Zm00001eb120100	blue		Zm00001eb199900	ENT domain containing protein/Protein EMSY-LIKE 4/Protein EMSY-LIKE 3/ENT domain-containing protein/
Zm00001eb120110	green		Zm00001eb199950	L-ascorbate peroxidase (EC 1.11.1.11)/3-hydroxy-3-methylglutaryl coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34)/Hydroxymethylglutaryl-CoA reductase (NADPH) (EC 1.1.1.34)/3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34)/
Zm00001eb120150	turquoise		Zm00001eb200010	RWD domain-containing protein/E3 ubiquitin-protein ligase RNF25/Ubiquitin-protein ligase/ zinc ion binding protein/
Zm00001eb120200	brown		Zm00001eb200030	Chalcone synthase 2/Chalcone synthase 8/Chalcone synthase WHP1/
Zm00001eb120230	turquoise		Zm00001eb200120	Blight resistance protein RGA1-like protein/Putative disease resistance protein RGA3/Disease resistance gene analog PIC13 (Fragment)/
Zm00001eb120240	brown		Zm00001eb200130	Protein WVD2-like 4/TPX2 domain-containing protein/
Zm00001eb120260	green		Zm00001eb200140	Sialyltransferase-like protein 1/Uncharacterized protein/Sialyltransferase-like protein 5/Sialyltransferase like protein/
Zm00001eb120280	brown		Zm00001eb200150	E3 ubiquitin-protein ligase RHF2A/
Zm00001eb120290	cyan		Zm00001eb200160	Acyl-coenzyme A oxidase/
Zm00001eb120300	turquoise		Zm00001eb200210	PMEI domain-containing protein/Plant invertase/pectin methylesterase inhibitor superfamily protein/
Zm00001eb120320	turquoise		Zm00001eb200250	Uncharacterized protein/
Zm00001eb120330	pink		Zm00001eb200260	OSJNBb0045P24.5-like protein/DUF4220 domain-containing protein/
Zm00001eb120350	salmon		Zm00001eb200380	OSJNBb0045P24.5-like protein/DUF4220 domain-containing protein/
Zm00001eb120360	turquoise		Zm00001eb200390	DNAJ heat shock N-terminal domain-containing protein/DnaJ subfamily B member 12/
Zm00001eb120370	turquoise		Zm00001eb200450	H/ACA ribonucleoprotein complex subunit/Putative H/ACA ribonucleoprotein complex subunit 1-like protein 1/
Zm00001eb120380	turquoise		Zm00001eb200460	Pumilio homolog 12/Pumilio 12/
Zm00001eb120390	green		Zm00001eb200480	Antimicrobial peptide/Uncharacterized protein/Antimicrobial peptide MBP-1/
Zm00001eb120420	turquoise		Zm00001eb200500	Protein ROOT HAIR DEFECTIVE 3/Protein ROOT HAIR DEFECTIVE 3 homolog (EC 3.6.5.-) (Protein SEY1 homolog)/
Zm00001eb120450	brown		Zm00001eb200510	E3 ubiquitin-protein ligase RING1-like/Protein binding protein/Putative RING zinc finger domain superfamily protein/
Zm00001eb120460	paleturquoise		Zm00001eb200530	Bax inhibitor-1 family protein/BI1-like protein/
Zm00001eb120470	turquoise		Zm00001eb200540	Epidermal patterning factor-like protein/
Zm00001eb120570	blue		Zm00001eb200570	Cycloartenol synthase (Fragment)/Camelliol C synthase/Terpene cyclase/mutase family member (EC 5.4.99.-)/Achilleol B synthase/
Zm00001eb120590	brown		Zm00001eb200590	ETO1-like protein 1/Uncharacterized protein/
Zm00001eb120600	turquoise		Zm00001eb200630	Glutamate formiminotransferase 1 (Fragment)/Transferase/Glutamate formimidoyltransferase/Formiminotransferase-like/
Zm00001eb120610	blue		Zm00001eb200680	Uncharacterized protein/Putative inactive leucine-rich repeat receptor kinase XIAO/
Zm00001eb120730	pink		Zm00001eb200720	Disease resistance protein RGA2/Cysteine-rich receptor-like protein kinase 6/Cysteine-rich receptor-like protein kinase 8/Protein kinase domain-containing protein/
Zm00001eb120750	pink		Zm00001eb200730	Cysteine-rich receptor-like protein kinase 6/Cysteine-rich receptor-like protein kinase 40/Protein kinase domain-containing protein/Cysteine-rich receptor-like protein kinase 6 (Serine/threonine protein kinase)/
Zm00001eb120760	cyan		Zm00001eb200740	Disease resistance protein RPM1/
Zm00001eb120780	blue		Zm00001eb200770	Protein kinase domain containing protein expressed/Cysteine-rich receptor-like protein kinase 19/Uncharacterized protein/
Zm00001eb120820	blue		Zm00001eb200830	Auxin transporter-like protein 3/
Zm00001eb120880	blue		Zm00001eb200870	"Long chain acyl-CoA synthetase 9 chloroplastic/Long chain acyl-CoA synthetase 9, chloroplastic/"
Zm00001eb120920	cyan		Zm00001eb200880	V-type proton ATPase proteolipid subunit/
Zm00001eb120970	tan		Zm00001eb200890	Putative DUF869 domain containing family protein/Filament-like plant protein/
Zm00001eb121010	pink		Zm00001eb200900	CBS domain-containing protein CBSCBSPB2/CBS domain-containing protein CBSCBSPB3/Uncharacterized protein/
Zm00001eb121040	brown		Zm00001eb201010	Putative pentatricopeptide repeat-containing protein/Pentatricopeptide repeat-containing protein/
Zm00001eb121070	lightyellow		Zm00001eb201060	Uncharacterized protein/
Zm00001eb121080	lightyellow		Zm00001eb201070	Zinc finger CCCH domain-containing protein 19/
Zm00001eb121100	tan		Zm00001eb201080	Ribosomal protein L15/Ribosomal protein L7/Cleavage stimulating factor 64/RRM domain-containing protein/
Zm00001eb121110	green		Zm00001eb201100	Uncharacterized protein/
Zm00001eb121180	tan		Zm00001eb201110	"ABC transporter G family member 29/ABC transporter G family member 25/ABC transporter G family member 38/ATPase, coupled to transmembrane movement of substance (ATPase, coupled to transmembrane movement of substances)/"
Zm00001eb121190	lightyellow		Zm00001eb201130	Dirigent protein/
Zm00001eb121200	lightyellow		Zm00001eb201140	DEAD/DEAH box RNA helicase family protein/Uncharacterized protein/Fanconi anemia group M protein/Helicase ATP-binding domain-containing protein/Helicase C-terminal domain-containing protein/
Zm00001eb121210	tan		Zm00001eb201190	Uncharacterized protein/
Zm00001eb121370	pink		Zm00001eb201220	"NifU-like protein 2, chloroplastic/NFU3/NifU-like protein 2 chloroplastic/"
Zm00001eb121460	brown		Zm00001eb201230	"Short-chain dehydrogenase TIC 32, chloroplastic/NAD(P)-binding Rossmann-fold superfamily protein/Retinol dehydrogenase 12/"
Zm00001eb121470	cyan		Zm00001eb201290	Deleted./NAC domain-containing protein 71/NAC domain-containing protein/
Zm00001eb121480	green		Zm00001eb201340	DNA polymerase (EC 2.7.7.7)/DNA polymerase delta catalytic subunit (Fragment)/DNA polymerase delta catalytic subunit/
Zm00001eb121510	blue		Zm00001eb201350	Deleted./Ankyrin repeat-containing protein NPR4/
Zm00001eb121560	brown		Zm00001eb201400	Uncharacterized protein/CBL-interacting protein kinase 31/Nuclear pore complex protein NUP155/
Zm00001eb121570	brown		Zm00001eb201570	14-3-3-like protein GF14-D/14_3_3 domain-containing protein/14-3-3-like protein/
